RECORDID,FIRSTNAME,LASTNAME,ADDRESS,CITY,POSTALCODEZIP,COUNTRY,GENDER,AGE,INCOMECODE,INCOMERANGE,INCOME,OCCUPATION,EDUCATION,RESIDENCE,FAMILYTYPE,SEGMENTATION,VISITS,TEMP_LATLONCODE,LAT,LONG,HubName,HubDist
1,Rory,McIlroy,,TORONTO,,Canada,Male,29,4,"130,000 - 169,999",153102,Sr. Manager,Masters,Owner,Family,Established Success,120,888,43.708032,-79.576434,"32",6.10270404942065
2,Scottie,Scheffler,,TORONTO,,Canada,Male,26,2,"70,000 - 99,999 ",78719,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,11,1166,43.633907,-79.481698,"49",2.24972623345714
3,Ludvig,Aberg,,TORONTO,,Canada,Male,38,1,"40,000 - 69,999",58554,Administration,College,Rent,Singles,Young Up and Comers,90,912,43.731773,-79.376515,"51",2.2677517972078
4,Bryson,DeChambeau,,TORONTO,,Canada,Female,43,5,"160,000 - 189,999",165023,Executive,Doctorate,Owner,Family,City Affluence,135,442,43.798965,-79.124826,"43",8.34080736568588
5,Collin,Morikawa,,TORONTO,,Canada,Male,56,4,"130,000 - 169,999",152491,Sr. Manager,Masters,Owner,Family,Established Success,70,925,43.797627,-79.408513,"50",3.98997147179765
6,Xander,Schauffele,,TORONTO,,Canada,Female,18,3,"100,000 - 129,999",116485,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,117,1002,43.714122,-79.459015,"16",1.99673803022117
7,Tommy,Fleetwood,,TORONTO,,Canada,Female,30,1,"40,000 - 69,999",59600,Administration,College,Rent,Singles,Young Up and Comers,80,1011,43.792165,-79.272189,"46",2.12852509113364
8,Robert,MacIntyre,,TORONTO,,Canada,Male,50,1,"40,000 - 69,999",49207,Administration,College,Rent,Singles,Young Up and Comers,134,360,43.713767,-79.480894,"16",1.97389702088477
9,Jon,Rahm,,TORONTO,,Canada,Female,35,1,"40,000 - 69,999",66563,Administration,College,Rent,Singles,Young Up and Comers,137,139,43.72492,-79.538292,"7",3.37440779411013
10,Shane,Lowry,,TORONTO,,Canada,Female,45,4,"130,000 - 169,999",154597,Sr. Manager,Masters,Owner,Family,Established Success,4,1004,43.654364,-79.420614,"27",1.16762363868936
11,Viktor,Hovland,,TORONTO,,Canada,Male,32,5,"160,000 - 189,999",175396,Executive,Doctorate,Owner,Family,City Affluence,129,638,43.666544,-79.464055,"49",1.64683291457955
12,Tony,Finau,,TORONTO,,Canada,Female,26,4,"130,000 - 169,999",151977,Sr. Manager,Masters,Owner,Family,Established Success,45,714,43.747959,-79.494302,"34",0.772623528303136
13,Tyrrell,Hatton,,TORONTO,,Canada,Male,21,4,"130,000 - 169,999",157482,Sr. Manager,Masters,Owner,Family,Established Success,23,210,43.779582,-79.279863,"46",1.22169979729135
14,Brooks,Koepka,,TORONTO,,Canada,Female,45,1,"40,000 - 69,999",63367,Administration,College,Rent,Singles,Young Up and Comers,72,409,43.651217,-79.531816,"30",1.63890343057805
15,Corey,Conners,,TORONTO,,Canada,Female,55,1,"40,000 - 69,999",62981,Administration,College,Rent,Singles,Young Up and Comers,131,848,43.791887,-79.308864,"46",1.5819087819961
16,Cameron,Smith,,TORONTO,,Canada,Female,52,2,"70,000 - 99,999 ",79929,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,60,1073,43.830268,-79.166418,"57",7.54146878234919
17,Sahith,Theegala,,TORONTO,,Canada,Female,29,4,"130,000 - 169,999",136815,Sr. Manager,Masters,Owner,Family,Established Success,139,1198,43.789993,-79.333075,"44",1.76790243162595
18,Patrick,Cantlay,,TORONTO,,Canada,Female,34,1,"40,000 - 69,999",45174,Administration,College,Rent,Singles,Young Up and Comers,37,86,43.736882,-79.211904,"45",0.704338419872985
19,Adam,Scott,,TORONTO,,Canada,Female,20,2,"70,000 - 99,999 ",77632,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,71,1152,43.735213,-79.238213,"45",1.69633239108397
20,Tom,Kim,,TORONTO,,Canada,Male,48,4,"130,000 - 169,999",140169,Sr. Manager,Masters,Owner,Family,Established Success,105,1120,43.604549,-79.535623,"31",2.96751608347616
21,Wyndham,Clark,,TORONTO,,Canada,Female,56,5,"160,000 - 189,999",170188,Executive,Doctorate,Owner,Family,City Affluence,143,502,43.688853,-79.450367,"48",0.660071688943364
22,Brian,Harman,,TORONTO,,Canada,Male,50,2,"70,000 - 99,999 ",75607,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,74,953,43.599019,-79.526509,"31",2.13749986534599
23,Akshay,Bhatia,,TORONTO,,Canada,Female,54,2,"70,000 - 99,999 ",83322,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,110,106,43.733998,-79.381551,"51",1.94934226272768
24,Cameron,Young,,TORONTO,,Canada,Male,48,4,"130,000 - 169,999",159636,Sr. Manager,Masters,Owner,Family,Established Success,97,855,43.706095,-79.339208,"21",1.9982588580969
25,Matt,Fitzpatrick,,TORONTO,,Canada,Female,33,1,"40,000 - 69,999",46228,Administration,College,Rent,Singles,Young Up and Comers,110,976,43.67938,-79.494291,"30",2.79914351060246
26,Aaron,Rai,,TORONTO,,Canada,Female,27,2,"70,000 - 99,999 ",95011,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,132,495,43.743149,-79.288585,"41",2.28723963969682
27,Jordan,Spieth,,TORONTO,,Canada,Male,22,4,"130,000 - 169,999",150045,Sr. Manager,Masters,Owner,Family,Established Success,74,1103,43.725708,-79.472789,"16",3.09513587335983
28,Hideki,Matsuyama,,TORONTO,,Canada,Female,52,1,"40,000 - 69,999",46658,Administration,College,Rent,Singles,Young Up and Comers,64,6,43.634417,-79.352248,"24",3.71373558954179
29,Justin,Thomas,,TORONTO,,Canada,Male,18,2,"70,000 - 99,999 ",99916,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,47,678,43.74935,-79.518042,"34",2.60757945812685
30,Louis,Oosthuizen,,TORONTO,,Canada,Female,37,1,"40,000 - 69,999",63059,Administration,College,Rent,Singles,Young Up and Comers,103,524,43.783878,-79.35088,"44",2.710505218203
31,Sepp,Straka,,TORONTO,,Canada,Female,25,2,"70,000 - 99,999 ",96122,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,29,1090,43.763801,-79.177017,"43",2.61537164333898
32,Alex,Noren,,TORONTO,,Canada,Female,28,5,"160,000 - 189,999",174506,Executive,Doctorate,Owner,Family,City Affluence,139,916,43.679914,-79.556188,"32",3.62264055200433
33,Jason,Day,,TORONTO,,Canada,Female,48,3,"100,000 - 129,999",107705,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,132,346,43.662515,-79.534075,"30",1.63395944653648
34,Max,Homa,,TORONTO,,Canada,Female,31,2,"70,000 - 99,999 ",96699,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,101,4,43.798937,-79.156937,"43",6.76129678428556
35,Min Woo,Lee,,TORONTO,,Canada,Male,36,3,"100,000 - 129,999",127597,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,64,873,43.62735,-79.390324,"17",5.11013327085924
36,Adam,Hadwin,,TORONTO,,Canada,Male,42,1,"40,000 - 69,999",48421,Administration,College,Rent,Singles,Young Up and Comers,51,880,43.629526,-79.536952,"28",2.28661502696113
37,Christiaan,Bezuidenhout,,TORONTO,,Canada,Male,51,3,"100,000 - 129,999",105698,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,134,971,43.829967,-79.274815,"46",5.55750567192769
38,Joaquin,Niemann,,TORONTO,,Canada,Male,46,4,"130,000 - 169,999",136002,Sr. Manager,Masters,Owner,Family,Established Success,109,325,43.687854,-79.367905,"21",1.70967282136175
39,Mackenzie,Hughes,,TORONTO,,Canada,Male,56,4,"130,000 - 169,999",140212,Sr. Manager,Masters,Owner,Family,Established Success,44,423,43.686172,-79.400828,"5",0.0509700637593282
40,Phil,Mickelson,,TORONTO,,Canada,Female,42,5,"160,000 - 189,999",167292,Executive,Doctorate,Owner,Family,City Affluence,23,685,43.709089,-79.293886,"2",3.60271017773887
41,Sungjae,Im,,TORONTO,,Canada,Female,32,5,"160,000 - 189,999",173479,Executive,Doctorate,Owner,Family,City Affluence,128,1041,43.749178,-79.238698,"42",1.27779608298023
42,Tiger,Woods,,TORONTO,,Canada,Male,39,5,"160,000 - 189,999",188151,Executive,Doctorate,Owner,Family,City Affluence,87,578,43.714137,-79.500275,"8",0.755015916732945
43,Will,Zalatoris,,TORONTO,,Canada,Male,42,1,"40,000 - 69,999",59599,Administration,College,Rent,Singles,Young Up and Comers,112,1117,43.743562,-79.210099,"45",0.751249745725393
44,J.T.,Poston,,TORONTO,,Canada,Male,18,5,"160,000 - 189,999",186384,Executive,Doctorate,Owner,Family,City Affluence,61,1055,43.731513,-79.340427,"36",0.355432500861113
45,Abraham,Ancer,,TORONTO,,Canada,Male,53,3,"100,000 - 129,999",112846,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,71,636,43.649069,-79.554133,"28",2.38837654547955
46,Austin,Eckroat,,TORONTO,,Canada,Female,43,5,"160,000 - 189,999",163543,Executive,Doctorate,Owner,Family,City Affluence,88,675,43.826729,-79.248567,"59",4.31886526039946
47,Denny,McCarthy,,TORONTO,,Canada,Female,37,3,"100,000 - 129,999",118699,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,48,980,43.681839,-79.306826,"2",0.625892663121528
48,Emiliano,Grillo,,TORONTO,,Canada,Male,51,1,"40,000 - 69,999",61106,Administration,College,Rent,Singles,Young Up and Comers,76,918,43.655965,-79.479058,"49",0.750436919852604
49,Si Woo,Kim,,TORONTO,,Canada,Male,31,2,"70,000 - 99,999 ",91289,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,130,733,43.73013,-79.232618,"45",1.64127829072591
50,J.T.,Kim,,TORONTO,,Canada,Male,21,5,"160,000 - 189,999",163414,Executive,Doctorate,Owner,Family,City Affluence,74,493,43.62838,-79.517882,"29",2.57630980681599
51,Wyndham,Lowry,,TORONTO,,Canada,Female,54,1,"40,000 - 69,999",56271,Administration,College,Rent,Singles,Young Up and Comers,127,317,43.790214,-79.213651,"57",2.14070998879658
52,Alex,Clark,,TORONTO,,Canada,Male,26,5,"160,000 - 189,999",161199,Executive,Doctorate,Owner,Family,City Affluence,61,873,43.62735,-79.390324,"17",5.11013327085924
53,Collin,Grillo,,TORONTO,,Canada,Male,35,1,"40,000 - 69,999",60140,Administration,College,Rent,Singles,Young Up and Comers,101,231,43.694799,-79.410637,"5",1.29136934753835
